"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W15QKN-25-F-A019,,OY4 TO Snow Charleston WV007,,,$25K to $250K,S218,,,DO,,Firm Fixed Price,10/16/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W56KGU-25-2-0094,,FY25 APEX Award - Wichita State University,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-25-R-0016,W15QKN19D0116,M4/M4A1 Carbine - Sole Source,,,$25M to $50M,1005,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-25-P-0000 001170,W911SA20F3131,New IDS Maintenance,,,< $25K,6350,,,PO,,Firm Fixed Price,,,1/31/2025,TBD,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91QF0-25-Q-8006,,G9 IF Academic Prep Course AY25-29,,,$250K to $1M,U009,,,PO,,Firm Fixed Price,2/7/2025,2/21/2025,3/3/2025,12,MICC,FDO EUSTIS,USAWC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
NAFPA2-24-R-0011,,NAF-Yearbooks ,,,< $25K,UNKNOWN,,,CONTR,,Firm Fixed Price,7/26/2024,,,60,MICC,FDO EUSTIS,USMA,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W5168W-25-R-0032,W911SF20D0003,Ft. Moore MAIDIQ,No,No,$100M to $250M,Z1AA,236220,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,6/6/2025,7/18/2025,4/30/2025,66,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 006256,,Ft Walker Flight Operations specialist ,,,$25K to $250K,N/A,,,,,,,,12/2/2024,9,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-Q-0037,,"EH4C0245EH BRACKET, MOUNTING",No,No,$25K to $250K,5340,332510,,PO,,Firm Fixed Price,12/2/2024,1/2/2025,11/27/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 000169,,Deleting cabinet.  Not Needed. ,,,< $25K,1320,,,DO NEG,,Firm Fixed Price,,,,5,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANDTA-25-P-0000 000302,W56HZV23C0024,AMPV FRPII - Follow On Contract (Yr 6-10),,,≥ $250M,2350,,NO SET ASIDE USED.,CONTR,,Fixed Price Incentive,,,,60,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-25-P-0000 000565,,RT00015-24 MATLAB with Simulink licenses,No,No,$25K to $250K,DA10,513210,,BPA,,Firm Fixed Price,12/16/2024,12/20/2024,12/31/2024,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-25-R-2000,,DRS MWMSS - RENEW - CNC&LATHE ASSEM,No,No,$25M to $50M,3416,333517,,CONTR,,Firm Fixed Price,12/2/2024,1/6/2025,1/1/2025,4,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANAPG-25-P-0000 001039,,U. New Hampshire / Option 1 / 20-2-0149,,,$250K to $1M,AJ11,,,,,,,,12/1/2024,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W31P4Q-22-R-0063,W31P4Q20D0023,FY25-29 Hydra Production ,No,No,$1M to $5M,1340,332993,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,8/7/2024,1/31/2025,12/13/2024,TBD,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-24-P-0000 014271,,PPMT #6675 - MFEW PRODUCTION ,,,$100M to $250M,5865,,,CONTR,,Cost Plus Fixed Fee,1/15/2025,4/15/2025,,120,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-R-L018,,DTA BASEOPS 2025 - Five-year follow on,No,No,$100M to $250M,Z1AA,561210,,CONTR,,Firm Fixed Price,2/12/2025,4/9/2025,6/30/2025,60,ACC CTRS,ACC-DTA,AMC: IMCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 007261,,MCTP CIO TRELLIX,,,$25K to $250K,7B22,,,DO,,Firm Fixed Price,12/2/2024,12/16/2024,1/1/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W31P4Q-25-F-0017,,WISLA Phase II (FMS) from LRIP IDIQ,,,$100M to $250M,5840,,,DO,,Firm Fixed Price,9/4/2024,,,60,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PAN414-25-P-0000 000431,,Fall Arrest Safety Devices Cert FY25-29,,,$25K to $250K,C219,,,,,,,,1/31/2025,60,ACC OO,414TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-24-P-0000 011291,,Source Selection Sensitive- DTA MATOC 2025,,,$50M to $100M,UNKNOWN,,,CONTR,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-23-P-0000 002484,,TEM 8 CWP- BAA-21-R-NCFT,,,< $25K,AC11,,,CONTR,,Cost Plus Fixed Fee,,,,TBD,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 000154,,APC annual Maintenance ,,,$25K to $250K,7C20,,,CONTR,,Firm Fixed Price,,,5/1/2025,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-22-D-5025 0003,,TO - OY2 - WV029 Morgantown - SNOW,,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W913FT-25-Q-0001,,Vehicle Master BPA Colombia Jan 25 - Jan 30,,,$5M to $10M,W023,,,BPA,,Firm Fixed Price,12/3/2024,1/2/2025,1/6/2025,60,ACC OO,410TH CSB,USARSO,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-24-P-0000 026439,,"12195568, CA501, REGION 4 MATOC MIN GUARANTEE #4",,,< $25K,Z2JZ,,,DO,,Firm Fixed Price,,,5/1/2025,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-24-P-0000 004338,,WV002 Beaver - Snow - FY25 - REQ PR 12144109,,,$25K to $250K,S218,,,,,,,,12/13/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANAPG-25-P-0000 001046,,Varonis Software ,,,$25K to $250K,7A21,,,CONTR,,Firm Fixed Price,,,9/30/2025,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANRSA-25-P-0000 005123,,Deob of Funds - W9124P-18-F-05D5_02,,,< $25K,DE11,,,,,,,,12/31/2024,TBD,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 002946,,MEDCOM Offsite Facilitation,,,< $25K,R617,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,,12,MICC,FDO FSH,MEDCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 003395,,Bondtech Autoclave Inspect Calibration & Certify,,,$25K to $250K,J049,,,CONTR,,Firm Fixed Price,,,12/20/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W58RGZ-23-R-0117,W52P1J20D0009,FCR PPSS IDIQ2 (1Feb2025 - 31Jan2030),,,< $25K,J016,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,10/11/2024,,2/1/2025,60,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W912PB-25-R-4004,,FCE-N AO VICTORY M/SCAT Maintenace and Services,,,$250K to $1M,J091,,,CONTR,,Firm Fixed Price,11/12/2024,11/29/2024,12/30/2024,12,ACC OO,409TH CSB,FORSCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANRSA-25-P-0000 000726,,IBCS Extension 15Jan25 - 16Mar25,,,$25M to $50M,R425,,,,,Cost Plus Fixed Fee,,,12/6/2024,2,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-24-P-0000 014820,,ADAM BAE Recompete,No,No,$1M to $5M,R499,541990,,DO NEG,,Firm Fixed Price,12/2/2024,1/3/2025,3/15/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 008252,,M250 Smoke Grenade Launcher - Poland,,,$10M to $25M,2350,,,,,Firm Fixed Price,,,11/29/2024,12,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-25-P-0000 001399,,SAND ROUTER X1 GEFBS,,,$250K to $1M,N/A,,,PO,,Firm Fixed Price,12/18/2024,1/2/2025,12/27/2024,9,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANNWJ-24-P-0000 003661,W15QKN19C0017,Excalibur Production FY26-30,,,≥ $250M,1320,,NO SET ASIDE USED.,,,,,,6/30/2026,TBD,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W15QKN-25-Q-A017,,PA118 CONNEAUT LAKE - Snow -FY25- REQ PR 12145342,No,No,$25K to $250K,S218,561790,,BPA,,Firm Fixed Price,,,2/7/2025,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANNWJ-25-P-0000 001471,,JOC C,,,$25M to $50M,N/A,,,,,,,,2/3/2025,60,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-24-P-0000 014813,,System Safety Task Order New ELSS III,,,$1M to $5M,1520,,,DO,,Cost Plus Fixed Fee,12/3/2024,,2/3/2025,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91151-25-F-0009,PANMCC25P0000,3SFAB AT&T Cellular& MiFi Service _UCA,No,No,$25K to $250K,N/A,517112,,DO,,Firm Fixed Price,11/19/2024,,12/1/2024,9,MICC,418TH CSB,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 006111,,Custodial Contract Funding December,,,$1M to $5M,S201,,,,,,,,12/23/2024,1,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-25-R-M4A1,W15QKN20D0006,M4/M4A1 Carbines,,,$100M to $250M,UNKNOWN,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,,,,TBD,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN409-25-P-0000 001110,W564KV23P0087,Renewal DLA Heat Plant #7573 Germersheim,,,$1M to $5M,Z1JZ,,NO SET ASIDE USED.,,,,,,3/30/2025,12,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANNWJ-25-P-0000 001276,,RFI for NGATS ,,,< $25K,N/A,,,CONTR,,Firm Fixed Price,,,,TBD,ACC CTRS,ACC-NJ,PEO CS AND CSS,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-24-P-0000 009099,,CDAO - AI TALENT 2.0 - BOA - ARAZZO,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 008901,,23D0006 FY25 75TH RANGERS 2DEC2024 - 13DEC2025,,,< $25K,S205,,,DO,,Firm Fixed Price,,,12/2/2024,1,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-25-P-0000 002258,,14799 - PM C&S SETA,,,$100M to $250M,R425,,,CONTR,,Cost Plus Fixed Fee,2/14/2025,3/31/2025,,60,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
W519TC-25-Q-2018,,PBA FY25 PW Solid Waste Collection & Disposal Base,No,No,$25K to $250K,S205,562111,,CONTR,,Firm Fixed Price,11/12/2024,12/9/2024,1/6/2025,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W90VN7-24-R-A025,W91QVN20D0001,SV/KN Fire Suppression,,,$1M to $5M,S202,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,10/7/2024,11/29/2024,,60,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W51AA1-25-R-0005,,Building 1A Pipe Supports,,,$250K to $1M,C1EC,,,CONTR,,Firm Fixed Price,11/4/2024,12/4/2024,12/16/2024,270,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
W56KGU-25-2-0079,,FY25 APEX Award - University of Missouri,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 000497,,SRB-NCR Transportation Contract,,,$5M to $10M,V212,,,CONTR,,Firm Fixed Price,2/14/2025,3/17/2025,5/16/2025,12,MICC,FDO FSH,MEDCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 007421,,Caisson Saddle Contract,,,$25K to $250K,N/A,,,CONTR,,Firm Fixed Price,,,11/27/2024,4,MICC,FDO FSH,MDW,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-24-D-5012 9992,,"T.O. to OY2 - SNOW - Reading, PA",,,< $25K,S218,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W15QKN-25-R-A002,,MA058 Ayer - FY25 - Snow - REQ PR 12143949,No,No,$250K to $1M,S218,561790,,CONTR,,Firm Fixed Price,10/25/2024,11/27/2024,12/8/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN413-25-P-0000 000804,,JPMRC 25-02 Custodial Services Contract,,,< $25K,S201,,,DO,,Firm Fixed Price,,,12/19/2024,1,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W9124M-24-F-0227,,"FY25-3-4J, Renovate Latrines, Hangar Bldg. 850 NFC",,,$250K to $1M,Z2QA,,,DO,,Firm Fixed Price,9/24/2024,,1/31/2025,4,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN414-24-P-0000 000662,,FY25_USAG Italy Security Guard Contract,,,$50M to $100M,S206,,,CONTR,,Firm Fixed Price,8/20/2025,10/6/2025,6/16/2026,60,ACC OO,414TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-22-P-0000 005051,,Class J&A & Acquisition Plan,,,< $25K,2355,,,CONTR,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-24-P-0000 004337,,VA039 Marion - Snow - FY25 - REQ PR 12143946,,,$25K to $250K,S218,,,,,,,,12/7/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANORL-23-P-0000 001960,,"Tank Driver Trainer (TDT), one (1) RO-B-GDA",,,$250K to $1M,N/A,,,CONTR,,Firm Fixed Price,,,12/16/2024,36,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PANAPG-24-P-0000 012047,,"AE24089	HR-B-UCF Astronics Equipment (SS Astronics",,,$25K to $250K,N/A,,,CONTR,,Firm Fixed Price,12/3/2024,1/2/2025,11/29/2024,12,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
W56HZV-21-A-L004,,Cleveland Lodging BPA,,,$10M to $25M,V231,,,BPA,,Firm Fixed Price,,,,36,ACC CTRS,ACC-DTA,USARNORTH,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-24-R-0123,,CIT - EH4L0142EH - BARREL AND FRONT SI,No,No,$1M to $5M,1005,332994,,CONTR,,Firm Fixed Price,12/23/2024,1/24/2025,1/20/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 000654,,"GEN MATOC_Install Generator, Bldg. 12981",No,No,$250K to $1M,Z2JZ,236220,,DO,,Firm Fixed Price,11/20/2024,12/16/2024,11/29/2024,12,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124D-25-R-0046,W9124D20D0007,FY25 Vehicle Graphic Wraps for USAMSB Fleet,No,No,$1M to $5M,T001,541430,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,12/3/2024,12/20/2024,2/15/2025,12,MICC,FDO FSH,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56HZV-16-A-J003 2522,,SDR H9181,,,< $25K,N/A,,,DO,,Firm Fixed Price,,,,1,ACC CTRS,ACC-DTA,USAASC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-24-R-0078,W58RGZ21D0028,CIRCM Full Rate Production 2 (FRP2),,,≥ $250M,5865,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,2/5/2025,2/5/2025,11/30/2025,120,ACC CTRS,ACC-RSA,PEO IEWS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 001635,,SCIE EEAAD DO,,,$1M to $5M,1670,,,DO,,Firm Fixed Price,11/29/2024,,12/13/2024,TBD,ACC CTRS,ACC-APG,PEO SOLDIER,ACC OSBP - APG,https://osbp.apg.army.mil
W58RGZ-25-R-0047,,New 2yr IDIQ AX4F2331AX 015608741,No,No,$1M to $5M,N/A,336413,,CONTR,,Firm Fixed Price,,,3/7/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-24-P-0000 002713,,BLU-136/B High Fragmenting Bomb Assembly,No,No,≥ $250M,1325,332993,,CONTR,,Firm Fixed Price,4/15/2025,5/30/2025,1/6/2026,TBD,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W31P4Q-25-F-0006,,SGT STOUT Year 2 Spares,,,< $25K,2355,,,DO,,Firm Fixed Price,7/22/2024,,12/6/2024,36,ACC CTRS,ACC-RSA,PEO MS,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-24-P-0000 008668,47QTCA24A0001,Horizon ELA,No,No,$25M to $50M,DA10,513210,,CONTR,BPA,Firm Fixed Price,11/25/2024,12/5/2024,1/1/2025,36,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W51EW7-24-R-0020,W9115119C0008,Mission Support Services (MSS) Re-compete - WSTC,,,≥ $250M,R425,,NO SET ASIDE USED.,CONTR,,Cost Plus Fixed Fee,1/2/2025,4/7/2025,4/20/2026,60,MICC,"HQ, MICC",USATEC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W519TC-25-Q-1002,,BASE OPS- INSERT MODIFIED THREAD CUTTER 11580393-6,,,< $25K,UNKNOWN,,,BPA,,Firm Fixed Price,11/22/2024,,12/16/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANAPG-25-P-0000 000757,,GSA Approved Security Cabinets,,,< $25K,7125,,,CONTR,,Firm Fixed Price,12/23/2024,1/7/2025,1/31/2025,1,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W58RGZ-25-P-0002,W31P4Q19P0006,PIF PO Request - AS9100 Audit PO 10001,No,No,$25K to $250K,R704,541611,SMALL BUSINESS SET ASIDE - TOTAL,PO,,Cost Plus Fixed Fee,12/30/2024,12/30/2024,12/31/2024,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANDTA-24-P-0000 010530,,FY25 Konica Minolta Accurio 6272P Full Service Mai,,,$25K to $250K,J035,,,,,,,,12/27/2024,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-24-R-0084,,FMS Airframe PPSS IDIQ2 Base (1Jan26-31Dec30),No,No,≥ $250M,J015,541330,,CONTR,,Firm Fixed Price,12/11/2024,4/11/2025,1/1/2025,60,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 009050,,23D0002 / JBLM Refuse / PR / POP 1Dec24-31Dec24/,,,$250K to $1M,S205,,,DO,,Firm Fixed Price,11/27/2024,,12/1/2024,1,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-F-0053,,EH5S0015EH 011382563 DETECTOR KIT,,,$250K to $1M,6640,,,DO,,Firm Fixed Price,1/7/2025,,1/31/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W519TC-25-Q-2054,,AS-HUSK-MIRRORS-S YOUNG X2 11/12/2024,,,< $25K,2590,,,CONTR,,Firm Fixed Price,12/3/2024,12/17/2024,12/27/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W15QKN-18-9-1008 T003,,DOTC 24-07 INIT 0003,,,$25M to $50M,AC33,,,DO NEG,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W91QF0-25-Q-6003,,G9 IF Hall of Fame Wall Display,,,< $25K,T001,,,PO,,Firm Fixed Price,11/25/2024,12/6/2024,12/2/2024,1,MICC,FDO EUSTIS,USAWC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 002328,,MSC Tokens Software Renewal Package,No,No,$25K to $250K,DA10,513210,,BPA,,Firm Fixed Price,12/31/2024,12/31/2024,12/31/2024,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91CRB-25-R-DTSS,GS06F0595Z,Digital Technology Support Services (DTSS),No,No,$25M to $50M,DA01,541511,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,GWAC,Cost Plus Fixed Fee,11/22/2024,12/20/2024,3/31/2025,09,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W912GY-25-Q-0008,,DOUBLE WALL BOXES,,,$25K to $250K,8115,,,CONTR,,Firm Fixed Price,11/21/2024,12/5/2024,12/2/2024,1,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-25-P-0000 000953,,RT000003-25; ADACORE MAINTENANCE,No,No,$25K to $250K,DA10,513210,,CONTR,,Firm Fixed Price,12/18/2024,12/27/2024,12/31/2024,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W56KGU-25-2-0009,,FY25 APEX Award - Crater Planning District Comm,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 002692,,AAG83FY25 Collibra DCG Pop: 26 Dec 25,No,No,$1M to $5M,7K20,541519,,DO,,Firm Fixed Price,,,12/19/2024,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PAN409-25-P-0000 001260,,OP3 Custodial Services - DUL,,,$25K to $250K,S201,,,DO,,Firm Fixed Price,,,9/19/2025,12,ACC OO,409TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANNWJ-25-P-0000 001701,,MACS CCC Market Survey,,,< $25K,1377,,,CONTR,,Firm Fixed Price,,,3/2/2026,60,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W15QKN-23-F-5257,,B3010 REPLACE DAMAGED CARPET,,,< $25K,Z1AZ,,,DO NEG,,Firm Fixed Price,,,,3,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-24-P-0000 009138,,CDAO - AI TALENT 2.0 - BOA - MALAMA KAI,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
